State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
5: Western Australia,58540: Victoria Plains (S),110,6,0,0,0,0,0,0,0,0,0,3
5: Western Australia,55530: Mingenew (S),49,0,0,3,0,0,0,9,0,0,0,0
5: Western Australia,55600: Moora (S),242,16,0,0,0,0,0,0,0,0,3,0
5: Western Australia,55670: Morawa (S),109,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,55740: Mosman Park (T),325,140,113,48,259,279,0,0,0,0,0,0
5: Western Australia,55810: Mount Magnet (S),55,5,0,0,0,0,0,7,0,0,0,0
5: Western Australia,55880: Mount Marshall (S),67,3,0,0,0,0,0,0,0,0,0,0
5: Western Australia,54900: Lake Grace (S),136,12,0,0,0,0,0,6,0,0,0,0
5: Western Australia,54830: Kwinana (C),2748,287,82,238,81,0,0,0,0,0,19,11
5: Western Australia,54760: Kulin (S),59,15,0,0,0,0,0,0,0,0,0,3
5: Western Australia,54690: Koorda (S),50,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,54620: Kondinin (S),96,5,0,15,0,0,0,0,0,0,0,0
5: Western Australia,54550: Kojonup (S),187,6,0,22,0,0,0,0,0,0,0,0
5: Western Australia,54480: Kent (S),48,0,0,6,0,0,0,0,0,0,0,0
5: Western Australia,54410: Kellerberrin (S),88,18,0,0,0,0,0,0,0,0,0,3
5: Western Australia,54340: Katanning (S),377,91,0,14,0,0,0,0,0,0,0,3
5: Western Australia,54310: Karratha (C),3977,619,58,171,18,68,0,32,17,14,7,23
5: Western Australia,54280: Kalgoorlie/Boulder (C),2416,1036,163,183,0,0,0,91,19,0,8,30
5: Western Australia,54200: Kalamunda (S),2839,385,13,36,0,0,0,13,11,3,3,19
5: Western Australia,54170: Joondalup (C),7019,1018,517,192,265,261,0,0,13,0,9,28
5: Western Australia,54130: Jerramungup (S),112,14,0,0,0,0,0,3,0,0,0,0
5: Western Australia,54060: Irwin (S),300,33,0,33,0,0,0,28,3,0,0,12
5: Western Australia,53990: Harvey (S),1720,208,10,44,0,0,0,23,5,3,0,8
5: Western Australia,53920: Halls Creek (S),487,87,18,17,0,0,0,22,0,9,12,4
5: Western Australia,55950: Mukinbudin (S),53,7,0,0,0,0,0,0,0,0,0,0
5: Western Australia,56090: Mundaring (S),1334,225,0,8,8,0,4,0,0,0,0,3
5: Western Australia,56160: Murchison (S),29,0,0,0,0,0,0,0,0,0,0,7
5: Western Australia,57420: Ravensthorpe (S),239,14,0,4,3,0,0,4,0,0,0,0
