COMMON_USAGE_NAME,RESPONSIBILITY_AREA,LOCAL_GOVERNMENT_NAME,REST_AREA_TYPE,STAY_24_HOUR,OWNERSHIP,SURFACE,SURFACE_TYPE,CONSTRUCTED_SHELTER,NATURAL_SHADE,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,LATITUDE,LONGITUDE
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-31.9864304769999,126.579757251
Leonora Laverton Rd,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-28.916358133,121.56614731
Toodyay Rd,Wheatbelt,Toodyay,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,2,No,-31.569451957,116.479302393
Nyabing Pingrup Rd,Great Southern,Kent,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-33.5828369389999,118.34578453
Muir Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-34.4394096939999,116.652382754
Muir Hwy,South West,Manjimup,Minor Rest Area,No,Main Roads,Surfaced,Unknown,No,Yes,0,0,No,0,No,-34.272697939,116.198907814
Williams Kondinin Rd,Wheatbelt,Kulin,Major Rest Area,Yes,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,1,No,-32.766267964,118.027569458
Newdegate Ravensthorpe Rd,Wheatbelt,Lake Grace,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.091105802,119.48255977
Winfield St,Mid West-Gascoyne,Morawa,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-29.216595813,116.009437105
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Asphalt Dense Graded,No,No,2,0,No,0,No,-24.8220283649999,113.766891373
South Coast Hwy,Goldfields - Esperance,Esperance,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.714567619,120.893328552
